resume_id,filename,category,model_a,model_b,rbo,jaccard_at_10,overlap_at_10
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.3879,0.1765,3
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.1339,0.1765,3
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ConFit v2,Hybrid (RRF),0.3108,0.1111,2
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.2207,0.1765,3
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,ColBERT,Hybrid (RRF),0.566,0.4286,6
ACCOUNTANT/11759079.pdf,11759079.pdf,ACCOUNTANT,CrossEncoder,Hybrid (RRF),0.3716,0.5385,7
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.212,0.1111,2
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.212,0.1111,2
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ConFit v2,Hybrid (RRF),0.212,0.1111,2
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.8526,1.0,10
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,ColBERT,Hybrid (RRF),0.8959,1.0,10
ACCOUNTANT/13701259.pdf,13701259.pdf,ACCOUNTANT,CrossEncoder,Hybrid (RRF),0.8526,1.0,10
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ConFit v2,ColBERT,0.4586,0.4286,6
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ConFit v2,CrossEncoder,0.2385,0.25,4
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ConFit v2,Hybrid (RRF),0.4048,0.3333,5
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ColBERT,CrossEncoder,0.3568,0.3333,5
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,ColBERT,Hybrid (RRF),0.7881,0.6667,8
ACCOUNTANT/28939941.pdf,28939941.pdf,ACCOUNTANT,CrossEncoder,Hybrid (RRF),0.4597,0.5385,7
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ConFit v2,ColBERT,0.1177,0.1765,3
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ConFit v2,CrossEncoder,0.1095,0.1765,3
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ConFit v2,Hybrid (RRF),0.1177,0.1765,3
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ColBERT,CrossEncoder,0.6449,0.8182,9
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,ColBERT,Hybrid (RRF),0.89,1.0,10
ADVOCATE/17911230.pdf,17911230.pdf,ADVOCATE,CrossEncoder,Hybrid (RRF),0.6533,0.8182,9
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ConFit v2,ColBERT,0.4503,0.25,4
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ConFit v2,CrossEncoder,0.2524,0.1765,3
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ConFit v2,Hybrid (RRF),0.3196,0.25,4
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ColBERT,CrossEncoder,0.3508,0.4286,6
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,ColBERT,Hybrid (RRF),0.6467,0.5385,7
ADVOCATE/19063156.pdf,19063156.pdf,ADVOCATE,CrossEncoder,Hybrid (RRF),0.4586,0.5385,7
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ConFit v2,ColBERT,0.2366,0.3333,5
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ConFit v2,CrossEncoder,0.1068,0.1111,2
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ConFit v2,Hybrid (RRF),0.1699,0.1111,2
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ColBERT,CrossEncoder,0.1563,0.1765,3
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,ColBERT,Hybrid (RRF),0.5396,0.3333,5
ADVOCATE/44115326.pdf,44115326.pdf,ADVOCATE,CrossEncoder,Hybrid (RRF),0.3164,0.6667,8
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ConFit v2,ColBERT,0.6587,0.4286,6
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ConFit v2,CrossEncoder,0.5136,0.4286,6
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ConFit v2,Hybrid (RRF),0.6378,0.4286,6
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ColBERT,CrossEncoder,0.6946,0.8182,9
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,ColBERT,Hybrid (RRF),0.8593,1.0,10
AGRICULTURE/15546686.pdf,15546686.pdf,AGRICULTURE,CrossEncoder,Hybrid (RRF),0.7316,0.8182,9
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,ConFit v2,ColBERT,0.2353,0.1765,3
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,ConFit v2,CrossEncoder,0.3158,0.3333,5
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,ConFit v2,Hybrid (RRF),0.2804,0.25,4
AGRICULTURE/16849128.pdf,16849128.pdf,AGRICULTURE,ColBERT,CrossEncoder,0.3662,0.4286,6
