model,metric,n,mean,median,std,ci95_low,ci95_high
ColBERT,semantic_alignment,304,0.769885,0.769947,0.03571,0.765871,0.7739
ColBERT,n_recommendations,304,15.0,15.0,0.0,15.0,15.0
ColBERT,avg_score,304,0.743224,0.75545,0.072071,0.735123,0.751326
ColBERT,top5_avg,304,0.813662,0.8248,0.050647,0.807968,0.819355
ColBERT,top5_vs_next5_gap,304,0.085436,0.0767,0.037944,0.081171,0.089702
ConFit v2,semantic_alignment,304,0.758999,0.759791,0.039894,0.754514,0.763483
ConFit v2,n_recommendations,304,15.0,15.0,0.0,15.0,15.0
ConFit v2,avg_score,304,0.800667,0.79945,0.018617,0.798574,0.80276
ConFit v2,top5_avg,304,0.810718,0.8087,0.018058,0.808688,0.812748
ConFit v2,top5_vs_next5_gap,304,0.012223,0.0115,0.004157,0.011756,0.012691
CrossEncoder,semantic_alignment,304,0.762846,0.764057,0.036555,0.758736,0.766955
CrossEncoder,n_recommendations,304,15.0,15.0,0.0,15.0,15.0
CrossEncoder,avg_score,304,0.316555,0.28045,0.090921,0.306334,0.326775
CrossEncoder,top5_avg,304,0.362022,0.30315,0.129224,0.347495,0.376549
CrossEncoder,top5_vs_next5_gap,304,0.058937,0.03095,0.059323,0.052269,0.065606
Hybrid (RRF),semantic_alignment,304,0.771365,0.772798,0.035151,0.767414,0.775317
Hybrid (RRF),n_recommendations,304,15.0,15.0,0.0,15.0,15.0
Hybrid (RRF),avg_score,304,0.727044,0.7277,0.07356,0.718775,0.735313
Hybrid (RRF),top5_avg,304,0.948105,0.95915,0.044293,0.943126,0.953084
Hybrid (RRF),top5_vs_next5_gap,304,0.223042,0.21735,0.129537,0.20848,0.237604
