Title,Company,Domain,Job Description,Skills,Experience Level,Salary,Location,Work Type,End Date,Source
MLOps engineer,Luxoft,AI / ML / Data Science,"Project Description:Work alongside software engineers and data scientists to ensure that quantitative research models are effectively developed, tested, and deployed in production environments.Responsibilities:Creation and maintenance of CI/CD pipelines for efficient deployment of ML modelsData management - e.g. connect with data sources and create ETL pipelines, cleanse the data, create datasets for model retrainingCreate pipelines for automated model testingMandatory Skills Description:1. Strong knowledge of Python and familiarity with relevant libraries, e.g. scikit-learn, TensorFlow, and PyTorch.2. Data - SQL, ETL, Pandas.3. Containerization (Docker / Kubernetes) and Cloud (AWS).Nice-to-Have Skills Description:Experience in applying MLOps principles to financial domain.Familiarity with Databricks. Show more Show less","Python, C, R, SQL, TensorFlow, PyTorch, Scikit-learn, Pandas, AWS, Docker, Kubernetes, CI/CD, Databricks",Not Specified,Not Disclosed,"Irvine, Ca",Onsite,2026-05-16,LinkedIn
ML Engineer,Microsoft,AI / ML / Data Science,"OverviewYou’ll help build core generative AI and multimodal capabilities that power customer-facing AI services at global scale. In this role, you’ll combine software engineering with applied ML expertise to design, ship, and operate production systems—using techniques like context engineering, synthetic data generation, and rigorous evaluation/metrics to continuously improve quality. You’ll collaborate closely across product, research, and service engineering to deliver secure, performant improvements for enterprise customers.This position is in-office, with a minimum of 3 days/week in office.Microsoft’s mission is to empower every person and every organization on the planet to achieve more, and we’re dedicated to this mission across every aspect of our company. Our culture is centered on embracing a growth mindset and encouraging teams and leaders toperform at a high level each day. Join us and help shape the future of the world.ResponsibilitiesDesign, build, and operate production-g","C, Go, R, ROS",Lead/Principal (8+ yrs),Not Disclosed,"Redmond, Wa",Onsite,2026-05-05,LinkedIn
MLOps Engineer - Remote [Urgent need],MillenniumSoft Inc,AI / ML / Data Science,"Position : MLOps Engineer - RemoteLocation : San Diego, CADuration : 10 MonthsTotal Hours/week : 40.001st ShiftClient : Medical Devices CompanyJob Category : Technical/EngineeringLevel of Experience : Senior LevelEmployment Type : Contract on W2 (Need US Citizens or GC Holders or GC EAD or OPT or EAD or CPT)Job DescriptionWe're seeking an experienced MLOps Engineer to lead the operationalization of our Machine Learning workloads. As a key team member, you'll be responsible for designing, building, and maintaining infrastructure required for efficient development, deployment, and monitoring of machine learning workloads. Your close collaboration with data scientists will ensure that our models are reliable, scalable, and performing optimally. This role requires expertise in automating ML workflows, enhancing model reproducibility, and ensuring continuous integration and delivery.ResponsibilitiesArchitect for scalable, cost-efficient, reliable and secure ML solution.Design, implement and","C, Go, Scala, R, Machine Learning",Senior (5+ yrs),Not Disclosed,"San Diego, Ca",Remote,2026-05-26,LinkedIn
MLOps Engineer,Reality Defender,Data Engineering,"Who We Are.Reality Defender is an award-winning cybersecurity company helping enterprises and governments detect deepfakes and AI-generated media. Utilizing a patented multi-model approach, Reality Defender is robust against the bleeding edge of generative platforms producing video, audio, imagery, and text media. Reality Defender's API-first deepfake detection platform empowers teams and developers alike to identify fraud, disinformation campaigns, and harmful deepfakes in real time.Backed by world class investors including DCVC, Illuminate Financial, Y Combinator, Booz Allen Hamilton, IBM, Accenture, Rackhouse, and Argon VC, Reality Defender works with leading enterprise clients, financial institutions, and governments in order to ensure AI-generated media is not used for malicious purposes.Youtube: Reality Defender Wins RSA Most Innovative StartupThe ML OPs Engineer Role.We are hiring a MLOps engineer to assist in development and support of our ML pipelines including large scale dat","C, Go, R, Cybersecurity",Lead/Principal (8+ yrs),Not Disclosed,"New York, Ny",Onsite,2026-05-12,LinkedIn
Software Engineer - MLOps,Phare Health,AI / ML / Data Science,"About UsPhare Health is now part of R1 and its AI innovation engine, R37 Lab, bringing Phare’s frontier clinical reasoning technology together with one of the largest healthcare platforms in the U.S.At R37 and Phare, we are building the first AI-native Healthcare Revenue Operating System: a connected platform that reasons over full medical records, payer logic, and financial workflows to automate medical coding, billing, and follow-up.Backed by real customers, real data, and real distribution, we operate on a national scale. Our agentic AI systems already power production workflows across 95 of the top 100 U.S. health systems, processing hundreds of millions of patient encounters each year, including:180M+ Claims550M+ Patient encounters1.2B+ Workflow actions and outcomes each yearThis is startup-level ownership with enterprise-level impact. If you want to build AI that ships, scales, and measurably improves how healthcare works, this is the place to do it.The RoleYou’ll own the product","C, R, ROS",Not Specified,Not Disclosed,"New York, Ny",Onsite,2026-05-08,LinkedIn
Machine Learning Engineer,Interwell Health,AI / ML / Data Science,"Interwell Health is a kidney care management company that partners with physicians on its mission to reimagine healthcare—with the expertise, scale, compassion, and vision to set the standard for the industry and help patients live their best lives. We are on a mission to help people and we know the work we do changes their lives. If there is a better way, we will create it. So, if our mission speaks to you, join us!As a Machine Learning Engineer, you’re a highly motivated individual with strong fundamentals in computer science and hands‑on experience across the full model development lifecycle—including feature engineering, model development, calibration, deployment, and ongoing monitoring. In this role, you will be flexible, eager to learn new skills, and willing to contribute wherever the team needs support. This Machine Learning Engineer is comfortable working with both traditional tabular machine learning models and modern AI techniques, including prompt engineering and LLM‑based","C, Go, R, Machine Learning, LLM, ROS",Not Specified,Not Disclosed,United States,Onsite,2026-05-01,LinkedIn
MLOps Engineer - Remote (AWS Certified Machine Learning),MillenniumSoft Inc,AI / ML / Data Science,"Position : MLOps Engineer - Remote (AWS Certified Machine Learning)Location : San Diego, CA Duration : 10+ MonthsTotal Hours/week : 401st ShiftClient : Medical Devices CompanyLevel of Experience : Senior LevelEmployment Type : Contract on W2 (Need US Citizens or GC Holders or GC EAD or OPT or EAD or CPT)Job DescriptionWe're seeking an experienced MLOps Engineer to lead the operationalization of our Machine Learning workloads. As a key team member, you'll be responsible for designing, building, and maintaining infrastructure required for efficient development, deployment, and monitoring of machine learning workloads. Your close collaboration with data scientists will ensure that our models are reliable, scalable, and performing optimally. This role requires expertise in automating ML workflows, enhancing model reproducibility, and ensuring continuous integration and delivery.ResponsibilitiesArchitect for scalable, cost-efficient, reliable and secure ML solution.Design, implement and dep","C, Go, Scala, R, Machine Learning, AWS",Senior (5+ yrs),Not Disclosed,"San Diego, Ca",Remote,2026-05-19,LinkedIn
Senior MLOps Engineer,Franklin Fitch,AI / ML / Data Science,"Senior MLOps Engineer | Remote (U.S.) | $160,000 - $220,000 base + benefits | PermanentWe’re partnered with a high‑growth technology company building out its Machine Learning Platform function and seeking a Senior MLOps Engineer. This role sits at the heart of their production AI environment and will focus on creating scalable, reliable systems that support continuous training, deployment, and monitoring of ML models.If you’re an engineer who knows how to turn research models into robust, repeatable production systems, this is a strong opportunity to join a well‑funded, engineering‑first business operating at national scale.The Role:You’ll work alongside Data Science, Platform Engineering, and Software Engineering to design the infrastructure, tooling, and automation that powers their ML lifecycle. This is a senior technical contributor role with ownership, autonomy, and influence on architecture and roadmap.Key Responsibilities:Build and maintain end‑to‑end ML pipelines (training, dep","C, Scala, R, Machine Learning, Unity",Senior (5+ yrs),"$160,000 - $220,000",United States,Remote,2026-05-17,LinkedIn
AI Engineer,Franklin Fitch,AI / ML / Data Science,"AI & ML Engineer (Agentic AI, Microsoft Stack, Enterprise Legal Systems) | Remote | United States | $180K - $220KWe are working with a well-capitalised, global law firm that is investing heavily in building internal, enterprise-grade agentic AI systems to transform legal workflows, knowledge management, and decision-making. This initiative is focused on developing secure, auditable, and highly reliable AI agents powered by Microsoft’s ecosystem, enabling lawyers and business teams to collaborate with AI in complex, high-stakes environments.This is a role for an AI/ML engineer who thrives on ownership, system design, and solving ambiguous problems in regulated environments. You won’t just be building models—you’ll be designing stateful, production-ready agent architectures that integrate deeply with legal systems, documents, and enterprise data platforms.What you will do:Design and build agentic AI systems using Microsoft technologies (Azure OpenAI, Azure ML, Semantic Kernel, etc.)Devel","C, R, Azure, ROS",Entry Level,$180K,United States,Remote,2026-05-22,LinkedIn
MLOps / Data Engineer,Triton Digital,Data Engineering,"We can only accept candidates based in Ontario or Quebec.The Audio Market OpportunityModern advertising marketers allocate spending through automated systems that interpret signals. For a channel to capture its fair share of budget, its inventory must be legible to those systems — standardized signals, structured metadata, and machine-readable supply pathways.For the next evolution of media buying, Audience Signal is even more consequential. Agentic buying — autonomous systems that independently interpret objectives, evaluate options, negotiate terms, and execute campaigns — is moving from concept to production. These systems don’t browse inventory the way a human planner does. They query structured environments, evaluate supply through machine-readable signals, and pass over inventory they cannot read.Our MissionTriton Digital builds the infrastructure layer that makes audio inventory legible to modern — and next-generation — advertising markets. Our platform enables broadcasters, ind","C, Go, R, Git, Unity",Not Specified,Not Disclosed,"California, United States",Onsite,2026-05-03,LinkedIn
Senior MLOps Engineer,Egen,DevOps / Cloud,"About Egen: Egen is a fast-growing and entrepreneurial company with a data-first mindset. We bring together the best engineering talent working with the most advanced technology platforms, including Google Cloud and Salesforce, to help clients drive action and impact through data and insights. We are committed to being a place where the best people choose to work so they can apply their engineering and technology expertise to envision what is next for how data and platforms can change the world for the better. We are dedicated to learning, thrive on solving tough problems, and continually innovate to achieve fast, effective results. If this describes you, we want you on our team.Want to learn more about life at Egen? Check out these resources in addition to the job description.Meet EgenLife at EgenCulture and Values at EgenCareer Development at EgenBenefits at EgenAbout the opportunity: Drive the future of our client's AI/ML infrastructure! Lead the design and development of their cutt","C, Go, R, Unity",Lead/Principal (8+ yrs),Not Disclosed,United States,Onsite,2026-05-25,LinkedIn
MLOps / Infrastructure Engineer,10a Labs,AI / ML / Data Science,"About 10a Labs: 10a Labs is the safety and threat-intelligence layer trusted by frontier AI labs, AI unicorns, Fortune 10 companies, and leading global technology platforms. Our adversarial red teaming, model evaluations, and intelligence collection enable engineering, safety, and security teams to stay ahead of evolving threats and deploy AI systems safely.3–8 Years of Industry Experience | Remote | High-ImpactAbout the Role: We’re looking for an infrastructure-focused engineer who thrives at the intersection of machine learning, systems, and product delivery. This is a hands-on role responsible for deploying, monitoring, and scaling a real-time ML-powered content moderation system used to detect and triage abuse, threats, and edge-case language. You’ll work closely with ML engineers, researchers, and clients to build infrastructure that makes high-performance models accessible and reliable in the wild.In This Role, You WillDesign and maintain cloud infrastructure (GCP or AWS) to supp","C, Rust, R, Machine Learning, AWS, GCP",Lead/Principal (8+ yrs),Not Disclosed,United States,Remote,2026-04-27,LinkedIn
MLOps Engineer,TechWish,AI / ML / Data Science,"Title: MLOps Engineer Engagement Type: FTE Grade: 7 Location: REMOTE Primary Responsibilities: Develop and implement end-to-end MLOps strategies to enhance solutions, including building, testing, and deploying machine learning and deep learning models. Design, build, and maintain robust machine learning pipelines for production environments, ensuring seamless integration with operational processes. Process and transform source data for machine learning pipelines, utilizing cloud computing platforms to enhance efficiency and scalability. Collaborate with cross-functional teams to assess and apply AI technologies to address complex business problems, focusing on practical implementations and operationalization. Communicate technical findings and insights to stakeholders and work closely to develop actionable solutions that meet customer needs. Develop and maintain comprehensive code and model documentation, and support model governance and compliance approvals. Adhere to best coding prac","C, Go, Scala, R, Machine Learning, Deep Learning, ROS",Not Specified,Not Disclosed,"Tysons Corner, Va",Remote,2026-05-04,LinkedIn
Scrum Master – Data & Analytics (AI/ML Ops),CompassX Group,Embedded / Hardware,"About Us: CompassX is a boutique business and technology consulting firm. We help Fortune 500 and high-growth clients deliver their most strategic initiatives, from enterprise transformations to digital and data-driven projects. With over 15 years of proven results, we’ve expanded across industries including financial services, pharmaceuticals, aerospace, consumer products, and quick service restaurants.We are honored to be recognized as a three-time winner of Consulting Magazine’s Best Boutique Firms to Work For, and previously recognized as a “Best Place to Work” in Southern California and one of INC.’s 5000 fastest-growing private companies in the U.S.About the Role: Our client, a pioneering biotechnology company, is seeking a dedicated Scrum Master - Data & Analytics to enable high-performing Agile delivery with a specific focus on implementing AI/ML Ops practices. This role is central to the organization’s ambition to become a fully integrated biotech company by delivering governe","C, Go, R, Git, Agile, Scrum, ROS",Not Specified,Not Disclosed,"Carlsbad, Ca",Onsite,2026-05-20,LinkedIn
Machine Learning Developer (Freelance),Mindrift,AI / ML / Data Science,"Please submit your CV in English and indicate your level of English proficiency.Mindrift connects specialists with project-based AI opportunities for leading tech companies, focused on testing, evaluating, and improving AI systems. Participation is project-based, not permanent employment.What This Opportunity InvolvesWhile each project involves unique tasks, contributors may:Design original computational STEM problems that simulate real scientific workflowsCreate problems that require Python programming to solveEnsure problems are computationally intensive and cannot be solved manually within reasonable timeframes (days/weeks)Develop problems requiring non-trivial reasoning chains and creative problem-solving approachesVerify solutions using Python with standard libraries (Numpy, Pandas, Scipy, scikit-learn)Document problem statements clearly and provide verified correct answersWhat We Look ForThis opportunity is a good fit for ML specialists with an experience in python open to part-t","Python, C, Go, R, Machine Learning, Scikit-learn, Pandas, NumPy, Unity",Lead/Principal (8+ yrs),Not Disclosed,"Kentucky, United States",Onsite,2026-05-03,LinkedIn
Entry Level AIML Developer,Arcfield,Core Engineering,"Responsibilities Conducts research in design, development, testing and utilization of electronic data processing software. Designs, develops, documents, tests and debugs applications software and systems that contain logical and mathematical solutions. Conducts multidisciplinary research and collaborates with equipment designers and/or hardware engineers in the planning, design, development, and utilization of electronic data processing systems for product and commercial software. Determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming techniques and controls; prepares operating instructions; designs and develops compilers and assemblers, utility programs, and operating systems. Ensures software standards are met. Analyzes user needs and software requirements to determine feasibility of design within time and cost constraints. Confers with systems analysts, engineers, programmers and ot","C, R",Not Specified,Not Disclosed,"Middletown, Ri",Onsite,2026-05-19,LinkedIn
AI/ML developer,Saransh Inc,AI / ML / Data Science,"Required SkillsSkillPython, NumPy, PandasPyTorch, TensorFlow, XGBoostExperience with LLMs (OpenAI, Hugging Face)REST APIs, Flask/FastAPIAWSMLOps (model deployment, monitoring, CI/CD)Vector DBs (e.g., FAISS, Pinecone)Job ResponsibilitiesDevelop and maintain ML/AI models and services.Integrate LLMs into production environments.Work closely with data scientists and DevOps.Optimize model performance and deployment.Good Knowledge in Deep Learning, Model Validation, classification, clustering Show more Show less","Python, C, Go, R, REST API, Flask, FastAPI, Deep Learning, TensorFlow, PyTorch, LLM, Pandas, NumPy, AWS, CI/CD",Not Specified,Not Disclosed,"Jersey City, Nj",Onsite,2026-04-30,LinkedIn
Artificial Intelligence Engineer,Allied Resources Technical Consultants,AI / ML / Data Science,"Category: IT & Software DevelopmentAllied Resources Technical Consultants is seeking a Senior AI Engineer to join a high-impact team responsible for building, scaling, and operationalizing advanced AI solutions across enterprise platforms. This is a hands-on engineering role focused on delivering production-grade AI systems that drive business value across digital, commercial, and operational domains.This individual will work closely with enterprise architecture leadership to translate AI strategy into scalable, real-world applications, leveraging cutting-edge technologies in Generative AI, LLMs, and machine learning systems.Key Highlights:• Design, build, and deploy end-to-end AI solutions including GenAI, ML, and agent-based systems • Develop scalable architectures leveraging RAG, embeddings, vector search, and orchestration frameworks • Deliver high-impact AI use cases such as pricing optimization, demand forecasting, and intelligent automation • Implement MLOps/LLMOps pipelines inc","C, Go, Scala, R, Machine Learning, LLM, Git, ROS",Senior (5+ yrs),Not Disclosed,"Burlington County, Nj",Onsite,2026-05-07,LinkedIn
Senior MLOps Engineer,DeepRec.ai,AI / ML / Data Science,"Senior MLOps / ML Infrastructure EngineerAbout the CompanyOur client is a Series B, venture-backed deep-tech company building a Physics AI platform that helps engineering teams bring products to market faster, reduce development risk, and explore better designs with greater confidence. The platform combines large-scale simulation data with modern machine learning to generate high-fidelity predictions of physical behavior in near real time. Customers include leading organizations across aerospace, automotive, and advanced manufacturing, working on some of the most demanding real-world engineering problems.The RoleThis role focuses on building and operating the infrastructure that powers physics-based AI systems at scale. The position enables ML engineers and scientists to train, track, deploy, and monitor models reliably without managing low-level infrastructure. The work sits at the intersection of ML systems, cloud infrastructure, and large-scale simulation data, with a strong emphasi","C, R, Machine Learning, ROS",Senior (5+ yrs),Not Disclosed,"San Mateo County, Ca",Onsite,2026-05-07,LinkedIn
MLOps Field Engineer,Canonical,DevOps / Cloud,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office-based roles. Teams meet two to four times yearly in person, in interesting locations around the world, to align on strategy and execution.The company is founder-led, profitable, and growing.We are hiring an MLOps Field Engineer to help global companies embrace AI/ML in their business, using the latest open source capabilities on public and private cloud infrastructure, Linux and Kubernetes. Our team applies expert insights to real-world customer problems, enabling the enterpris","C, R, Kubernetes, Linux",Lead/Principal (8+ yrs),Not Disclosed,"San Francisco, Ca",Onsite,2026-05-01,LinkedIn
"Data Scientist, Applied AI - Remote",Azumo,AI / ML / Data Science,"Azumo is currently looking for a highly motivated Data Scientist / Machine Learning Engineer to develop and enhance our data and analytics infrastructure. The position is FULLY REMOTE, based in Latin America. Professional English proficiency (B2/C1)This position will provide you with the opportunity to collaborate with a dynamic team and talented data scientists in the field of big data analytics and applied AI. If you have a passion for designing and implementing advanced machine learning and deep learning models, particularly in the Generative AI space, this role is perfect for you. We are seeking a skilled professional with expertise in Python for production-level projects, proficiency in machine learning and deep learning techniques such as CNNs and Transformers, and hands-on experience working with PyTorch.We're looking for a versatile Machine Learning Engineer / Data Scientist to join our big-data analytics team. In this hybrid role you'll not only design and prototype novel ML/D","Python, C, R, Machine Learning, Deep Learning, PyTorch, Unity",Not Specified,Not Disclosed,United States,Remote,2026-05-23,LinkedIn
AWS MLOPS Engineer,Technology Ventures,AI / ML / Data Science,"We are seeking an experienced and highly skilled AWS Full Stack ML Engineer to operationalize and optimize our large-scale financial modeling applications. This role requires a unique blend of expertise in machine learning, software engineering, and AWS cloud infrastructure, with a strong focus on implementing robust MLOps practices to ensure scalability, reliability, and cost-efficiency. The ideal candidate will bridge the gap between data science and production systems, transforming data science prototypes into secure, high-performance, and compliant solutions in a fast-paced financial environment. Key ResponsibilitiesImplement MLOps and CI/CD: Design, build, and maintain end-to-end MLOps pipelines for the continuous integration, training, deployment, and monitoring of ML models on AWS.System Design and Integration: Reengineer large scale model development code (from data scientists) and model application code (from software engineers) and seamlessly integrate into unified, productio","C, Scala, R, Machine Learning, AWS, CI/CD",Not Specified,Not Disclosed,"Reston, Va",Onsite,2026-05-12,LinkedIn
AI Engineer,Global Connect Technologies,AI / ML / Data Science,"Job SummaryWe are seeking a highly skilled AI Engineer to design, develop, and deploy scalable AI agents and multi-agent systems. The ideal candidate will have strong expertise in Python or C#, experience with agentic frameworks, and the ability to integrate AI solutions with enterprise systems. This role involves working on Large Language Models (LLMs), prompt engineering, Retrieval-Augmented Generation (RAG), and cloud-based deployments to build real-world AI applications.The AI Engineer will collaborate with cross-functional teams to translate business workflows into intelligent AI solutions while ensuring scalability, performance, and reliability.Key ResponsibilitiesDesign and develop scalable AI agents and multi-agent systems using Python or C# and agentic frameworks.Integrate AI agents with enterprise systems, databases, APIs, and knowledge bases.Create and optimize prompts, system messages, and guardrails to control agent behavior.Build evaluation frameworks and performance metr","Python, C#, C, Scala, R, LLM, ROS",Not Specified,Not Disclosed,"Golden Valley, Mn",Onsite,2026-05-14,LinkedIn
Software Engineer,FM India,Game / AR / VR,"Role Title: Software Engineer Position Summary: Participates as a team member in the design, development, and maintenance of multi-tiered business applications. Individuals holding this position are frequently expected to work independently as a member of a team. Incumbents have some understanding of relevant technologies. This individual also participates fully in all team practices and standards. This role interfaces with IT colleagues and other stakeholders to evaluate defined complex busine…","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-04-28,Adzuna
Software Engineer,Ferguson,Cybersecurity,"JOB FUNCTION: The Information Technology job family acquires, designs, implements, and operates the organization's information technology resources, including computer hardware, operating systems, communications, software applications, data processing and security. General areas of responsibility include developing information technology strategies, policies and plans; managing the implementation, maintenance, and use of information technology resources; and training and supporting technology u…","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-17,Adzuna
"Manager, Software Engineering",TMUS Global Solutions,Game / AR / VR,"Manager, Software Engineering Platform/Ingestion (L07) About the Role: Manager, Software Engineering leads a team of software developers responsible for building and maintaining systems, platforms, and tools that support critical business operations. This role manages the development and delivery of software solutions for both internal and external business customers. The Manager partners with technology and product leaders to define technical strategies that align with organizational goals. Su…","C, Go, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-19,Adzuna
Telecommunications Software Engineer,Xtel,Backend / API,"Company Description XTel is a next-generation telecommunications company delivering cloud-based communication solutions for modern businesses. Our platform enables companies to manage virtual phone systems seamlessly across mobile and web environments, eliminating the need for traditional hardware. Powered by advanced technologies including Twilio APIs, real-time webhooks, and scalable cloud infrastructure , XTel provides intelligent communication features such as call forwarding, voicemail-to-…","C, Scala, R, ROS",Not Specified,Not Disclosed,India,Onsite,2026-05-18,Adzuna
Software Engineering Advisor,Evernorth,Game / AR / VR,"About Evernorth: Evernorth Health Services, a division of The Cigna Group (NYSE: CI), creates pharmacy, care, and benefits solutions to improve health and increase vitality. We relentlessly innovate to make the prediction, prevention, and treatment of illness and disease more accessible to millions of people. Software Engineering Advisor Position Overview: The job profile for this position is Software Engineering Advisor, which is a Band 4 Contributor Career Track Role. Excited to grow your car…","C, R",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-16,Adzuna
Senior Software Engineer,Stolt-Nielsen Digital Innovation Centre,AI / ML / Data Science,"About the Role The Senior Software Engineer plays a critical role in designing and building scalable software systems that solve complex business and technical challenges. In our Tankers business, we are actively modernizing our portfolio of business applications that are at the heart of our operations, such as our business planning applications, our customer and partner portals, financial systems and our interfaces on top of our data and AI products. You will be a key player in driving our dig…","C, Scala, R",Senior (5+ yrs),Not Disclosed,Hyderabad,Onsite,2026-05-11,Adzuna
Senior Software Engineer,Sedgwick India,Game / AR / VR,"JOB DESCRIPTION About the Company About Sedgwick We are the worlds leading risk and claims administration partner, helping clients thrive by navigating the unexpected. Our expertise, combined with the most advanced AI-enabled technology available, sets the standard for solutions in claims administration, loss adjusting, benefits administration and product recall. With over 33,000 colleagues and 10,000 clients across 80 countries, we provide unmatched perspective, caring that counts, and solutio…","C, R, ROS",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-24,Adzuna
Senior Software Engineer,Under Armour India,Full Stack,"PURPOSE OF ROLE: Under Armour is seeking a full stack Senior Software Engineering to help architect and build fast, frictionless experiences across the globe as part of our growing Ecommerce Engineering team. The Senior Software Engineering will hold responsibility for front-end initiatives across multiple platforms. The ideal candidate has a passion for collaboration with cross functional partners, can adapt to technology change and evolution, and is eager to find creative solutions to technic…","C, R, ROS",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-04-29,Adzuna
Senior Software Engineer,Costco,Game / AR / VR,"About Costco Wholesale Costco Wholesale is a multi-billion-dollar global retailer with warehouse club operations in eleven countries. They provide a wide selection of quality merchandise, plus the convenience of specialty departments and exclusive member services, all designed to make shopping a pleasurable experience for their members. About Costco Wholesale India At Costco Wholesale India, we foster a collaborative space, working to support Costco Wholesale in developing innovative solutions …","C, R",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-07,Adzuna
Sr. Software Engineer,Costco,Backend / API,"Position Title: Sr. Software Engineer Role Summary: The Costco GDX Order Management Platform team is looking for a talented individual to design, develop, and maintain the critical services that power Costcos multi-billion dollar eCommerce business. This role will be a technical leader in a fast-paced, dynamic environment, focusing heavily on back-end microservices development with an opportunity to make a tangible impact on millions of members globally within a rapidly expanding eCommerce land…","C, R, Microservices, Unity, ROS",Senior (5+ yrs),Not Disclosed,Hyderabad,Onsite,2026-05-02,Adzuna
Senior Software Engineer,Ferguson,Backend / API,"Duties and Responsibilities: Develop and maintain high-quality, efficient, and testable code using Java and other backend technologies. Collaborate with multi-functional teams, including technical leads, business collaborators, and product owners, to gather and understand project requirements and acceptance criteria. Integrate data from various backend services and databases, ensuring seamless functionality. Troubleshoot, debug, and resolve issues in existing applications to maintain optimal pe…","Java, C, R",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-04-30,Adzuna
Principal Software Engineer,FM India,Game / AR / VR,"Role Title: Principal Software Engineer Position Summary: Leads and mentors in the design, development, and maintenance of multi-tiered business applications. Individuals holding this position are typically expected to be thought leaders in conjunction with solution architects and lead product teams from technical and delivery perspectives as well as work independently as a member of a team. Incumbents have a thorough understanding of available technology landscape, tools, and existing designs.…","C, R",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-18,Adzuna
Lead Software Engineer,Under Armour India,Backend / API,"PURPOSE OF ROLE: The Under Armour Platform team responsible for underarmour.com and the UA App is currently seeking a Lead Software Engineer, Backend. This roleis responsible forbuilding new andmaintainexisting Node-based services and APIs in an ecosystem responsible for powering millions of customers across Web, iOS, and Android. The ideal candidate has worked with open-source technology, has been a technical mentor to otherdevelopersand has contributed code to highly scalable backend systems.…","C, Scala, R, Node, ROS",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-22,Adzuna
Lead Software Engineer,FM India,Game / AR / VR,"About us: We are a highly successful 190-year-old, Fortune 500 commercial property insurance company of 6,000 employees with a unique focus on science and risk engineering. Businesses worldwide trust our expertise to protect their assets, relying on our comprehensive risk assessments and robust, engineering-based insurance solutions to safeguard against fire, natural disasters, and other perils. Serving over a quarter of the Fortune 500 and major corporations globally, we deliver data-driven st…","C, Rust, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-25,Adzuna
Software Engineer- TM,Alkami,Core Engineering,"Purpose of the Job: The Software Engineer will build computer software systems, participating in the design process from beginning to end. Demonstrates technical domain knowledge of the company, including apps, services, systems, or frameworks. Essential Duties & Responsibilities: Write clean code to develop functional web applications using object-oriented design, design patterns, data structures, relational databases Participate in the entire application lifecycle, focusing on coding and debu…","C, R",Not Specified,Not Disclosed,Gurgaon,Onsite,2026-05-17,Adzuna
Software Engineer IND,FM India,Game / AR / VR,"Role Title: Software Engineer IND Position Summary: Participates as a team member in the design, development, and maintenance of multi-tiered business applications. Individuals holding this position are frequently expected to work independently as a member of a team. Incumbents have some understanding of relevant technologies. This individual also participates fully in all team practices and standards. This role interfaces with IT colleagues and other stakeholders to evaluate defined complex bu…","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-10,Adzuna
Software Engineer 3,Costco,Backend / API,"Position Title: Software Engineer 3 Role Summary: The Costco GDX Order Management Platform team is looking for a talented individual to design, develop, and maintain the critical services that power Costcos multi-billion-dollar eCommerce business. This role will be instrumental in a fast-paced, dynamic environment, focusing heavily on back end microservices development with an opportunity to make a tangible impact on millions of members globally within a rapidly expanding eCommerce landscape. T…","C, R, Microservices, Unity, ROS",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-23,Adzuna
Staff Software Engineer,ANSR Summit Consulting,Game / AR / VR,"Role and Responsibilities: Lead code/design reviews to ensure smooth daily operations and accurate planning Participate in the entire application lifecycle, focusing on coding and debugging Write clean code to develop functional web applications Advanced troubleshooting and debugging Perform UI tests to optimize performance Liaise with developers, designers and system administrators to identify new features Manage cutting-edge technologies to improve legacy applications Gather and address techn…","C, R",Lead/Principal (8+ yrs),Not Disclosed,Gurgaon,Onsite,2026-05-20,Adzuna
Software Engineer in Test,Recro,Backend / API,"SDET - Backend Testing | Bengaluru | 6 days work from office | Immediate joiners only About the Role We are hiring an SDET to join the founding quality engineering team of a fast-growing consumer technology startup founded in 2024 (our partner) that is building a platform focused on delivering hyperlocal services with speed and reliability. The engineering team is building systems from the ground up, and quality engineering will play a critical role in scaling the platform reliably . This role…","C, R, Perl",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-23,Adzuna
