model,metric,n,mean,median,std,ci95_low,ci95_high
ColBERT,semantic_alignment,304,0.76973,0.76979,0.035788,0.765707,0.773753
ColBERT,n_recommendations,304,15.0,15.0,0.0,15.0,15.0
ColBERT,avg_score,304,0.743057,0.75545,0.071972,0.734966,0.751147
ColBERT,top5_avg,304,0.813496,0.8248,0.050546,0.807814,0.819178
ColBERT,top5_vs_next5_gap,304,0.085447,0.0767,0.037975,0.081178,0.089716
ConFit v2,semantic_alignment,304,0.758807,0.759759,0.039831,0.75433,0.763285
ConFit v2,n_recommendations,304,15.0,15.0,0.0,15.0,15.0
ConFit v2,avg_score,304,0.800677,0.79945,0.018656,0.798579,0.802774
ConFit v2,top5_avg,304,0.810738,0.8087,0.018095,0.808704,0.812772
ConFit v2,top5_vs_next5_gap,304,0.012241,0.0115,0.004144,0.011776,0.012707
CrossEncoder,semantic_alignment,304,0.762807,0.764057,0.036574,0.758696,0.766919
CrossEncoder,n_recommendations,304,15.0,15.0,0.0,15.0,15.0
CrossEncoder,avg_score,304,0.316975,0.28045,0.091355,0.306705,0.327245
CrossEncoder,top5_avg,304,0.36268,0.30315,0.130134,0.348051,0.377309
CrossEncoder,top5_vs_next5_gap,304,0.059187,0.03095,0.05995,0.052448,0.065926
